goodsId,goodsSn,productNo,goodsName,goodsImg,shopId,goodsType,marketPrice,shopPrice,warnStock,goodsStock,goodsUnit,goodsTips,isSale,isBest,isHot,isNew,isRecom,goodsCatIdPath,goodsCatId,shopCatId1,shopCatId2,brandId,goodsDesc,goodsStatus,saleNum,saleTime,visitNum,appraiseNum,isSpec,gallery,goodsSeoKeywords,illegalRemarks,dataFlag,createTime,isFreeShipping,goodsSerachKeywords,modifyTime
"115439","6513282","6513282","广博GBR51000","https://item.jd.com/6513282.html","100309","0","0.00","15.00","0","0","个",\N,"1","0","0","0","0",\N,"10348","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115440","6521332","6521332","阿迪达斯跑步鞋","https://item.jd.com/6521332.html","100106","0","0.00","698.00","0","0","个",\N,"1","0","0","0","0",\N,"10411","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115441","6528881","6528881","361°671812264","https://item.jd.com/6528881.html","100121","0","0.00","149.00","0","0","个",\N,"1","0","0","0","0",\N,"10411","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115442","6533636","6533636","苏泊尔VCC81A-12","https://item.jd.com/6533636.html","100340","0","0.00","369.00","0","0","个",\N,"1","0","0","0","0",\N,"10304","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115443","6535567","6535567","纽曼H6","https://item.jd.com/6535567.html","105276","0","0.00","149.00","0","0","个",\N,"1","0","0","0","0",\N,"10301","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115444","654120","654120","依波男士石英腕表","https://item.jd.com/654120.html","100144","0","0.00","388.00","0","0","个",\N,"1","0","0","0","0",\N,"10308","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115445","654122","654122","依波女士石英腕表","https://item.jd.com/654122.html","100144","0","0.00","388.00","0","0","个",\N,"1","0","0","0","0",\N,"10308","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115446","6561204","6561204","斯沃琪SUOW701","https://item.jd.com/6561204.html","100277","0","0.00","570.00","0","0","个",\N,"1","0","0","0","0",\N,"10367","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115447","6577697","6577697","迪士尼电子手表","https://item.jd.com/6577697.html","100238","0","0.00","188.00","0","0","个",\N,"1","0","0","0","0",\N,"10308","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115448","6592921","6592921","广博GBP20003","https://item.jd.com/6592921.html","100309","0","0.00","9.90","0","0","个",\N,"1","0","0","0","0",\N,"10348","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115449","659806","659806","广博GB25317","https://item.jd.com/659806.html","100309","0","0.00","7.90","0","0","个",\N,"1","0","0","0","0",\N,"10348","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115450","6618130","6618130","半球NS-K730-18","https://item.jd.com/6618130.html","100446","0","0.00","109.00","0","0","个",\N,"1","0","0","0","0",\N,"10369","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
"115451","6618370","6618370","得力3427","https://item.jd.com/6618370.html","100135","0","0.00","6.50","0","0","个",\N,"1","0","0","0","0",\N,"10348","0","0","0","","0","0","2020-09-09 15:38:59","0","0","0",\N,\N,\N,"1","2020-09-09 15:38:59","0",\N,"2020-09-09 15:38:59"
